id,cdocente,ccurso,prioridad,sw_cambio,curso_id,user_id,created_at,updated_at
417,"000549","120018",1,F,198,92,10/04/2016 01:00:55,10/04/2016 01:00:55
418,"000549","100065",1,F,52,92,10/04/2016 01:00:55,10/04/2016 01:00:55
419,"000549","140036",4,F,614,92,10/04/2016 01:00:55,10/04/2016 01:00:55
420,"000549","140049",3,F,1699,92,10/04/2016 01:00:55,10/04/2016 01:00:55
421,"000549","100199",5,F,1469,92,10/04/2016 01:00:55,10/04/2016 01:00:55
422,"000549","100201",6,F,1754,92,10/04/2016 01:00:55,10/04/2016 01:00:55
423,"000549","140071",3,F,533,92,10/04/2016 01:00:55,10/04/2016 01:00:55
424,"001520","140006",3,F,1233,98,10/04/2016 01:00:55,10/04/2016 01:00:55
425,"000549","100016",3,F,1958,92,10/04/2016 01:00:55,10/04/2016 01:00:55
426,"000474","100134",1,F,1257,56,10/04/2016 01:00:55,10/04/2016 01:00:55
427,"000474","100209",1,F,1258,56,10/04/2016 01:00:55,10/04/2016 01:00:55
428,"000152","140066",1,F,1825,8,10/04/2016 01:00:55,10/04/2016 01:00:55
429,"000244","140066",2,F,1825,108,10/04/2016 01:00:55,10/04/2016 01:00:55
430,"001045","140066",3,F,1825,120,10/04/2016 01:00:55,10/04/2016 01:00:55
431,"000244","140066",4,F,1825,108,10/04/2016 01:00:55,10/04/2016 01:00:55
432,"000372","140066",5,F,1825,102,10/04/2016 01:00:55,10/04/2016 01:00:55
433,"000958","140066",7,F,1825,85,10/04/2016 01:00:55,10/04/2016 01:00:55
434,"000772","140066",9,F,1825,93,10/04/2016 01:00:55,10/04/2016 01:00:55
435,"000743","140066",10,F,1825,19,10/04/2016 01:00:55,10/04/2016 01:00:55
436,"000989","140066",11,F,1825,65,10/04/2016 01:00:55,10/04/2016 01:00:55
437,"001419","140066",12,F,1825,132,10/04/2016 01:00:55,10/04/2016 01:00:55
438,"000500","140066",13,F,1825,103,10/04/2016 01:00:55,10/04/2016 01:00:55
439,"001173","140066",14,F,1825,68,10/04/2016 01:00:55,10/04/2016 01:00:55
440,"001262","140066",15,F,1825,110,10/04/2016 01:00:55,10/04/2016 01:00:55
441,"000201","110067",1,F,1127,106,10/04/2016 01:00:55,10/04/2016 01:00:55
442,"000661","100200",6,F,1602,50,10/04/2016 01:00:55,10/04/2016 01:00:55
443,"001456","100068",7,F,780,72,10/04/2016 01:00:55,10/04/2016 01:00:55
444,"000241","100198",9,F,1450,115,10/04/2016 01:00:55,10/04/2016 01:00:55
445,"000241","140070",1,F,1236,115,10/04/2016 01:00:55,10/04/2016 01:00:55
446,"000623","140070",2,F,1236,49,10/04/2016 01:00:55,10/04/2016 01:00:55
447,"001268","140070",4,F,1236,44,10/04/2016 01:00:55,10/04/2016 01:00:55
448,"000622","140068",1,F,637,78,10/04/2016 01:00:55,10/04/2016 01:00:55
449,"000420","140068",2,F,637,27,10/04/2016 01:00:55,10/04/2016 01:00:55
450,"001268","140068",3,F,637,44,10/04/2016 01:00:55,10/04/2016 01:00:55
451,"001752","100047",12,F,236,11,10/04/2016 01:00:55,10/04/2016 01:00:55
452,"000623","110047",2,F,310,49,10/04/2016 01:00:55,10/04/2016 01:00:55
453,"000958","110047",3,F,310,85,10/04/2016 01:00:55,10/04/2016 01:00:55
454,"000244","110047",4,F,310,108,10/04/2016 01:00:55,10/04/2016 01:00:55
455,"000590","110047",5,F,310,48,10/04/2016 01:00:55,10/04/2016 01:00:55
456,"000509","110047",7,F,310,77,10/04/2016 01:00:55,10/04/2016 01:00:55
457,"000743","110047",9,F,310,19,10/04/2016 01:00:55,10/04/2016 01:00:55
458,"000731","110047",11,F,310,1,10/04/2016 01:00:55,10/04/2016 01:00:55
459,"001746","100184",15,F,271,55,10/04/2016 01:00:55,10/04/2016 01:00:55
460,"001746","100048",19,F,283,55,10/04/2016 01:00:55,10/04/2016 01:00:55
461,"001746","110047",16,F,310,55,10/04/2016 01:00:55,10/04/2016 01:00:55
462,"000441","110075",6,F,1752,125,10/04/2016 01:00:55,10/04/2016 01:00:55
463,"000195","110074",13,F,1451,36,10/04/2016 01:00:55,10/04/2016 01:00:55
464,"001745","110074",14,F,1451,66,10/04/2016 01:00:55,10/04/2016 01:00:55
465,"001746","100189",6,F,306,55,10/04/2016 01:00:55,10/04/2016 01:00:55
466,"001763","160011",3,F,622,42,10/04/2016 01:00:55,10/04/2016 01:00:55
467,"000500","110075",7,F,1752,103,10/04/2016 01:00:55,10/04/2016 01:00:55
468,"001751","100159",15,F,1094,107,10/04/2016 01:00:55,10/04/2016 01:00:55
469,"001746","100185",15,F,288,55,10/04/2016 01:00:55,10/04/2016 01:00:55
470,"000767","100200",7,F,1602,130,10/04/2016 01:00:55,10/04/2016 01:00:55
471,"000767","100090",16,F,49,130,10/04/2016 01:00:55,10/04/2016 01:00:55
